,SASTRA - Main Campus,,,,,
0,Date,Day,"B. Tech./ 
B.Optom./ 
M.Tech./ 
M.B.A./ 
M.C.A./ M.Sc.","B.Com.(CA)/ 
B.Com. (BFSI) / 
M.Sc. (Intg.)","BA.,LL.B./ 
BBA.,LL.B./ 
B.Com.,LL.B.","B.A., B.Ed. / 
B.Sc., B.Ed."
1,16/03/22,Wed,1,1,1,1
2,17/03/22,Thu,2,2,2,2
3,18/03/22,Fri,3,3,3,3
4,19/03/22,Sat,4,4,4,4
5,20/03/22,Sun,-,-,-,-
6,21/03/22,Mon,5,5,5,5
7,22/03/22,Tue,6,6,6,6
8,23/03/22,Wed,7,7,7,7
9,24/03/22,Thu,8,8,8,8
10,25/03/22,Fri,9,9,9,9
11,26/03/22,Sat,10,10,10,10
12,27/03/22,Sun,-,-,-,-
13,28/03/22,Mon,11,11,11,11
14,29/03/22,Tue,12,12,12,12
15,30/03/22,Wed,13,13,13,13
16,31/03/22,Thu,14,14,14,14
17,01/04/22,Fri,15,15,15,15
18,02/04/22,Sat,-,-,-,-
19,03/04/22,Sun,-,-,-,-
20,04/04/22,Mon,16,16,16,16
21,05/04/22,Tue,17,17,17,17
22,06/04/22,Wed,18,18,18,18
23,07/04/22,Thu,19,19,19,19
24,08/04/22,Fri,20,20,20,20
25,09/04/22,Sat,21,21,21,21
26,10/04/22,Sun,-,-,-,-
27,11/04/22,Mon,22,22,22,22
28,12/04/22,Tue,23,23,23,23
29,13/04/22,Wed,24,24,24,24
30,14/04/22,Thu,-,-,-,-
31,15/04/22,Fri,-,-,-,-
32,16/04/22,Sat,-,-,-,-
33,17/04/22,Sun,-,-,-,-
34,18/04/22,Mon,CIA I,25,25,25
35,19/04/22,Tue,CIA I,26,26,26
36,20/04/22,Wed,CIA I,27,27,27
37,21/04/22,Thu,CIA I (I Yr),CIA I,CIA I,28
38,22/04/22,Fri,29,CIA I,CIA I,29
39,23/04/22,Sat,30,CIA I,CIA I,30
40,24/04/22,Sun,-,-,-,-
41,25/04/22,Mon,31,31,31,31
42,26/04/22,Tue,32,32,32,32
43,27/04/22,Wed,33,33,33,33
44,28/04/22,Thu,34,34,34,CIA I
